ROSTER ,,,,,
ROSTER // EDIT,,,,,
JAMIL SHAUKAT,PROJECT NAME ,LOOP DOWNLOAD LINK,EMBED CODE ,CREDITS,
,Under Armour - Men's Unstoppable Collection ,https://www.dropbox.com/scl/fi/aclovajpq9yeesfw9y2at/Under-Armour-Men-s-Unstoppable-Collection.mov?rlkey=4xs1sd3qacjjq7y1xtwri5xtb&st=qdnxdsys&dl=0,"<div style=""width:100%;height:0;position: relative;padding-bottom:52.76042%;margin-bottom:10px;""><iframe src=""https://apollo.gosimian.com/share/v/eHWf8zsSuiwys697NlDV3A/false/auto/auto/ffffff/000000/"" name=""SimianEmbed"" scrolling=""no"" style=""position: absolute;top: 0;        left: 0; width: 100%; height: 100%;padding:0 !important;margin:0 !important;background:#000000"" frameborder=""0"" allowFullScreen webkitAllowFullScreen></iframe></div>","Director: Michael Kelly
Executive Producers/Parallel Studios: Tony Pillow Simon Chasalow
Lead Producer: Amanda Jones
DP: Cory Burmester

Head of Post: Alex Peterson
Post Supervisor: Chris Carson
Editor: Griffin Olis
Music: Jile
Sound Design: Ayo Douson",
,Kai Cenat x iShowSpeed,https://www.dropbox.com/scl/fi/tp3s30w1nchebwpll9kt8/Kai-Cenat-x-iShowSpeed.mp4?rlkey=yyuvp9lw8um1yd302ntnjmsdp&st=d73snom0&dl=0,"<div style=""width:100%;height:0;position: relative;padding-bottom:56.25000%;margin-bottom:10px;""><iframe src=""https://apollo.gosimian.com/share/v/k84zVfx6eUANCz9rc-axFQ/false/auto/auto/ffffff/000000/"" name=""SimianEmbed"" scrolling=""no"" style=""position: absolute;top: 0;        left: 0; width: 100%; height: 100%;padding:0 !important;margin:0 !important;background:#000000"" frameborder=""0"" allowFullScreen webkitAllowFullScreen></iframe></div>","Production Company: Black Screen Productions Inc
Director: Michael Daniel, Lachlan McClellan
Executive Producers: Monique Carrillo, Michael Daniel
DP: Jonathan Charles

Editor: Griffin Olis",
,MLS & Apple TV - Beyond the Pitch - Episode 2,https://www.dropbox.com/scl/fi/j5px2zsyotwftcbwozi3h/MLS-Apple-TV-Beyond-the-Pitch-Episode-2.mp4?rlkey=k9sb0wy9yydec4blmae74q1e5&st=ij4gggaf&dl=0,"<div style=""width:100%;height:0;position: relative;padding-bottom:56.25000%;margin-bottom:10px;""><iframe src=""https://apollo.gosimian.com/share/v/5jtkQ-J-7bk3e1C4p_1hwQ/false/auto/auto/ffffff/000000/"" name=""SimianEmbed"" scrolling=""no"" style=""position: absolute;top: 0;        left: 0; width: 100%; height: 100%;padding:0 !important;margin:0 !important;background:#000000"" frameborder=""0"" allowFullScreen webkitAllowFullScreen></iframe></div>","Director: Don Newkirk Jr.
Executive Producers: Alex Peterson, Nate Loucks
Media Company: Boardroom
Production Co: Parallel Studios

Post Supervisor: Alex Peterson 
Editor: Griffin Olis ",
,MLS & Apple TV - Beyond the Pitch- Episode 4,https://www.dropbox.com/scl/fi/b5ck1sw16rg7ve5oc85r7/MLS-Apple-TV-Beyond-the-Pitch-Episode-4.mp4?rlkey=8wcf0l0y2qc2zrgkf1afnmajg&st=ok8ndsmh&dl=0,"<div style=""width:100%;height:0;position: relative;padding-bottom:56.25000%;margin-bottom:10px;""><iframe src=""https://apollo.gosimian.com/share/v/_m2_Z8QG2n7FMj9u6qLWZA/false/auto/auto/ffffff/000000/"" name=""SimianEmbed"" scrolling=""no"" style=""position: absolute;top: 0;        left: 0; width: 100%; height: 100%;padding:0 !important;margin:0 !important;background:#000000"" frameborder=""0"" allowFullScreen webkitAllowFullScreen></iframe></div>","Director: Don Newkirk Jr.
Executive Producers: Alex Peterson, Nate Loucks
Media Company: Boardroom
Production Co: Parallel Studios

Post Supervisor: Alex Peterson 
Editor: Griffin Olis ",
DEVON SOLWOLD ,,,,,
EDITOR,Bodega x New Balance,https://www.dropbox.com/scl/fi/kdrtlk7ygxkg5gh8p542i/Bodega-x-New-Balance.mp4?rlkey=9queqojszqrwaga8qnf6oravp&st=i5l5qt56&dl=0,"<div style=""width:100%;height:0;position: relative;padding-bottom:63.26889%;margin-bottom:10px;""><iframe src=""https://apollo.gosimian.com/share/v/hKEJPCvrM6F1f_D8m775gw/false/auto/auto/ffffff/000000/"" name=""SimianEmbed"" scrolling=""no"" style=""position: absolute;top: 0;        left: 0; width: 100%; height: 100%;padding:0 !important;margin:0 !important;background:#000000"" frameborder=""0"" allowFullScreen webkitAllowFullScreen></iframe></div>","Director: NotTonightMike
EP: Alex Majher
Producer: Elizabeth Kraushaar
DP: Kai Dickson

Edit & Sound Design: Devon Solwold 
",
,"Bodega x G Shock - Anytime, Anywhere",https://www.dropbox.com/scl/fi/2agn5zzix89j7hc7fhzmr/Bodega-x-G-Shock-Anytime-Anywhere.mp4?rlkey=dsdkkcvr12cofo1q7jonk64ym&st=6ovdwozh&dl=0,"<div style=""width:100%;height:0;position: relative;padding-bottom:56.25000%;margin-bottom:10px;""><iframe src=""https://apollo.gosimian.com/share/v/tP8hab455lYbINecxlO4UA/false/auto/auto/ffffff/000000/"" name=""SimianEmbed"" scrolling=""no"" style=""position: absolute;top: 0;        left: 0; width: 100%; height: 100%;padding:0 !important;margin:0 !important;background:#000000"" frameborder=""0"" allowFullScreen webkitAllowFullScreen></iframe></div>","Director: Michael B Janey
Cinematographer: Kai Dickson 
Agency: drinkadmilk

Edit & Sound Design: Devon Solwold ",
,OKEM - Short Film,https://www.dropbox.com/scl/fi/810vw3sv331d1kdcb4p0x/OKEM-Short-Film.mp4?rlkey=ggz6jerin3xa9wckxqlmqnjc9&st=pwjjhvw5&dl=0,"<div style=""width:100%;height:0;position: relative;padding-bottom:75.00000%;margin-bottom:10px;""><iframe src=""https://apollo.gosimian.com/share/v/Kj037VYYf3TRWAyj2X9grw/false/auto/auto/ffffff/000000/"" name=""SimianEmbed"" scrolling=""no"" style=""position: absolute;top: 0;        left: 0; width: 100%; height: 100%;padding:0 !important;margin:0 !important;background:#000000"" frameborder=""0"" allowFullScreen webkitAllowFullScreen></iframe></div>","Director - Joshua Okwuosa
Cinematography - Kai Dickson
Producer - Elizabeth Kraushaar

Editor: Devon Solwold
",
,Eem Triplin - What Da Opp Said,https://www.dropbox.com/scl/fi/2oh4tjwz56qvh5ucopel5/Eem-Triplin-What-Da-Opp-Said.mp4?rlkey=bxvwsfo36lxzpcsk5xjbf7k9u&st=022rci2d&dl=0,"<div style=""width:100%;height:0;position: relative;padding-bottom:56.25000%;margin-bottom:10px;""><iframe src=""https://apollo.gosimian.com/share/v/MdBuv2VRG7aBrCpyi2NlzQ/false/auto/auto/ffffff/000000/"" name=""SimianEmbed"" scrolling=""no"" style=""position: absolute;top: 0;        left: 0; width: 100%; height: 100%;padding:0 !important;margin:0 !important;background:#000000"" frameborder=""0"" allowFullScreen webkitAllowFullScreen></iframe></div>","Director: Michael Kelly
Executive Producers: Tony Pillow, Simon Chasalow, Lucas Alexander
Producer: Nour Sayeh
Production Company: Parallel Studios


Post Supervisor: Alex Peterson
Edit & Sound Design: Devon Solwold
VFX: Ben Gillespie
",
,$NOT Ft. Zilla Kami - 0 PERCENT,https://www.dropbox.com/scl/fi/kn3usayyy3vprpdpea8z5/NOT-Ft.-Zilla-Kami-0-PERCENT.mp4?rlkey=yptxzbtjumd28fbet00l5km2l&st=ho4rgif4&dl=0,"<div style=""width:100%;height:0;position: relative;padding-bottom:56.25000%;margin-bottom:10px;""><iframe src=""https://apollo.gosimian.com/share/v/roJJm677DwOEfWAHUBszjw/false/auto/auto/ffffff/000000/"" name=""SimianEmbed"" scrolling=""no"" style=""position: absolute;top: 0;        left: 0; width: 100%; height: 100%;padding:0 !important;margin:0 !important;background:#000000"" frameborder=""0"" allowFullScreen webkitAllowFullScreen></iframe></div>","Director: JMP-James Pereira
EP: Joey Szela
Producer: ANDREW PERCIVAL
DP: Joel Wolt
Production Company: Paperwork


Head of Post: Alex Peterson
Post Supervisor: Chris Carson
Editor: Devon Solwold & JMP
Sound Design: Devon Solwold
VFX: Auraj Raj",
